Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.124403360878066,0.395688807688146,0.5278494204150833,0.5665743661266754,0.5665743661266754,0.5882553867662476,0.6223550305130252,0.4866424738428343
Scales,0.124403360878066,0.3592955997264742,0.3752547618785408,0.38239363711992247,0.419652934308819,0.4911465554862836,0.6948297408478614,0.4866424738428343
Coords,0.02478390517595611,0.1190865919466221,0.33118616300690096,0.32186598189101145,0.32186598189101145,0.3924447177216691,0.31004623127797426,0.29729454625524077
