Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.3988224725990855,0.5158325130105871,0.7607883661158508,0.7419372139657742,0.7419372139657742,0.6889929701023153,0.7409481277195583,0.18530172526710648
Scales,0.3988224725990855,0.4290476695566201,0.43459745351301243,0.36481346239278495,0.32300597808157483,0.4387236194714688,0.61434859017181,0.18530172526710648
Coords,0.5031342152706106,0.7100608976519581,0.7370380700955592,0.6994086439481372,0.6994086439481372,0.7041664365174514,0.7226879131255832,0.6800436190091563
