Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3
Cumulative Scale Entropy,0.8975819447990977,0.49557349598823525,0.49120857646493316,-2.220446049250313e-16
Inverse Cumulative Scale Entropy,-0.0,0.8975819447990976,0.49557349598823575,0.49120857646493304
Cumulative x-coord Entropy,0.48088648772978304,0.8975819447990977,0.9107980744312765,0.49557349598823525
Cumulative y-coord Entropy,0.013456339456375723,0.26779456605112956,0.91033979908256,0.9141504718843361
Inverse cumulative x-coord Entropy,0.49557349598823525,0.4917026022274831,0.26779456605112956,0.2602673346154135
Inverse cumulative y-coord Entropy,0.4955734959882357,0.49542849221506297,0.4910972598184081,0.4807373851637142
