Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.12520912002981172,0.42913345477195053,0.8994304103612616,1.2419177055443382,1.2419177055443382,1.3852031950815653,0.8722935813130074,0.8105023698862335
Scales,0.12520912002981172,0.3847177125702237,0.7706049647027882,1.0625308627058234,1.0883344381306677,1.0004969869452567,0.8570533400755977,0.8105023698862335
Coords,0.11241391118870084,0.6448314253627951,1.5474742263301968,2.0077573856537896,2.0077573856537896,1.9897146989922105,1.1043535107137523,0.5095792297673526
