Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.1559915893155856,0.45277048731822805,0.6104327994615938,0.834877636940902,0.834877636940902,1.0161350830717095,0.8317746602557119,0.6230972540898183
Scales,0.1559915893155856,0.4187291224498083,0.6528425897879218,0.4879653176257224,0.6321313691409067,0.5265236160484394,0.22666898785113418,0.6230972540898183
Coords,0.138021319277391,0.4967777992030835,0.884836067795953,0.9141708035631727,0.9141708035631727,1.0089772311720864,0.4260511150582378,0.037808326646626644
