Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.2116453262735793,0.5885566633594645,1.0362932875444022,1.482046964451015,1.482046964451015,1.5531452053311487,1.415816874517559,1.1075515375811749
Scales,0.2116453262735793,0.5113560474264185,0.8388012329113347,1.0779413665381405,1.11329114484275,1.0385799000479226,1.0633329947344656,1.1075515375811749
Coords,0.5254592869087669,1.4601130367469743,2.0266847178935654,1.7824705365901152,1.7824705365901152,1.78548217695598,1.5382666530714613,0.8454445428785677
