Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6
Cumulative Scale Entropy,1.9984014443252806e-15,1.9984014443252806e-15,1.9984014443252806e-15,1.9984014443252806e-15,1.9984014443252806e-15,,
Inverse Cumulative Scale Entropy,1.9984014443252806e-15,1.9984014443252806e-15,1.9984014443252806e-15,1.9984014443252806e-15,1.9984014443252806e-15,,
Cumulative x-coord Entropy,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,,
Inverse cumulative x-coord Entropy,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,,
Cumulative y-coord Entropy,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,,
Inverse cumulative y-coord Entropy,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,1.3322676295501873e-15,,
