Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6
Cumulative Scale Entropy,2.109423746787799e-15,2.109423746787799e-15,2.109423746787799e-15,2.109423746787799e-15,2.109423746787799e-15,,
Inverse Cumulative Scale Entropy,2.109423746787799e-15,2.109423746787799e-15,2.109423746787799e-15,2.109423746787799e-15,2.109423746787799e-15,,
