Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.08213013764369803,0.24487756249855702,0.48949088115203854,0.692451715825734,0.692451715825734,0.9068851389647186,0.9634275624749066,0.7325178443747928
Scales,0.08213013764369803,0.21445655768694694,0.4355086077602708,0.5522936284526958,0.6610407842230125,0.8607289129403155,0.9728915838257454,0.7325178443747928
Coords,0.10085464332711583,0.374751991257959,0.7865922986925167,0.7684884341378723,0.7684884341378723,0.7820624259789564,0.6232277982404402,0.5998623428752645
