Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.27277214829808477,0.6233189057185476,1.0258383678919691,1.4484600483743806,1.4484600483743806,1.6316844587710102,1.0418270846187911,0.9089121934589157
Scales,0.27277214829808477,0.5030707609941851,0.7213464218666035,0.9151494723838771,1.0035253007912686,1.0110395032591177,0.8598479674757701,0.9089121934589157
Coords,0.3678541260286067,0.7932665383134935,1.372653228236725,1.4783923117589568,1.4783923117589568,1.4579131405173817,1.1804184508692228,0.36929699280109085
