Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.06291903186448616,0.20185769447112706,0.41998510921838295,0.6140881551282267,0.6140881551282267,0.6879065173268573,0.6184115825122918,0.7039009675883985
Scales,0.06291903186448616,0.17802685757175826,0.3574177642338325,0.5190897691370993,0.6403170336033572,0.5559027408320936,0.6174479512057893,0.7039009675883985
Coords,0.0746711098752828,0.2791857849369474,0.6487346315082317,0.6317242079672845,0.6317242079672845,0.6471375933686263,0.5506972624764787,0.16376539202446794
