Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.3129468541702356,0.7380361590406876,1.114928957126387,1.3656848318367196,1.3656848318367196,1.3365812797813923,1.3572638603950091,0.8970475928645996
Scales,0.3129468541702356,0.6082786223608555,0.7372121342865776,0.8323831507353043,0.9417726446017876,1.0330768062813809,1.134264820652422,0.8970475928645996
Coords,0.6525601974234774,1.2313327273642696,1.498727919373229,1.3053522210768393,1.3053522210768393,1.3015903316353308,1.0889317673493102,0.6612483585617427
