Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.15382381606011766,0.3897023660215413,0.672576857622321,0.9257005162343379,0.9257005162343379,1.1843031397610035,1.0786223404468198,0.4855752477970815
Scales,0.15382381606011766,0.32807759744929244,0.5038430116904659,0.6842659955155288,0.8153182927581875,0.9417615383443262,0.9719229759230393,0.4855752477970815
Coords,0.2695892940938308,0.5972722527750319,0.9548208242389526,0.9682488510064234,0.9682488510064234,0.9898873851976426,0.9173369751939051,0.478012672013742
