Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,Entropy 7
CumScales,0.2665848743553787,0.5747451880689446,0.870002205446103,1.0618993103394851,1.0618993103394851,1.0345256644823668,1.1992840550990893,1.0285771230265768
Scales,0.2665848743553787,0.4406801942212285,0.610321875720202,0.6993954763255541,0.764269423083255,1.0148135040031963,1.0734531028493892,1.0285771230265768
Coords,0.5142020481390324,0.9383128658277586,1.5166797320392886,1.040559510261988,1.040559510261988,1.0434592123410245,0.9626203522244066,0.6118699974243198
