Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6
Cumulative Scale Entropy,3.3306690738754686e-16,3.3306690738754686e-16,3.3306690738754686e-16,3.3306690738754686e-16,,,
Inverse Cumulative Scale Entropy,3.3306690738754686e-16,3.3306690738754686e-16,3.3306690738754686e-16,3.3306690738754686e-16,,,
Cumulative x-coord Entropy,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16,,,
Inverse cumulative x-coord Entropy,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16,,,
Cumulative y-coord Entropy,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16,,,
Inverse cumulative y-coord Entropy,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16,3.330669073875469e-16,,,
