Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6
Cumulative Scale Entropy,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,,,
Inverse Cumulative Scale Entropy,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,,,
Cumulative x-coord Entropy,1.1102230246251561e-15,1.1102230246251561e-15,1.1102230246251561e-15,1.1102230246251561e-15,,,
Inverse cumulative x-coord Entropy,1.1102230246251561e-15,1.1102230246251561e-15,1.1102230246251561e-15,1.1102230246251561e-15,,,
Cumulative y-coord Entropy,1.1102230246251561e-15,1.1102230246251561e-15,1.1102230246251561e-15,1.1102230246251561e-15,,,
Inverse cumulative y-coord Entropy,1.1102230246251561e-15,1.1102230246251561e-15,1.1102230246251561e-15,1.1102230246251561e-15,,,
