Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6
Cumulative Scale Entropy,2.2204460492503123e-16,2.2204460492503123e-16,2.2204460492503123e-16,2.2204460492503123e-16,,,
Inverse Cumulative Scale Entropy,2.2204460492503123e-16,2.2204460492503123e-16,2.2204460492503123e-16,2.2204460492503123e-16,,,
Cumulative x-coord Entropy,-0.0,-0.0,-0.0,-0.0,,,
Inverse cumulative x-coord Entropy,-0.0,-0.0,-0.0,-0.0,,,
Cumulative y-coord Entropy,-0.0,-0.0,-0.0,-0.0,,,
Inverse cumulative y-coord Entropy,-0.0,-0.0,-0.0,-0.0,,,
