Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6
Cumulative Scale Entropy,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,,,
Inverse Cumulative Scale Entropy,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,,,
Cumulative x-coord Entropy,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,,,
Inverse cumulative x-coord Entropy,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,,,
Cumulative y-coord Entropy,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,,,
Inverse cumulative y-coord Entropy,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,6.661338147750937e-16,,,
