Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6
Cumulative Scale Entropy,4.4408920985006257e-16,4.4408920985006257e-16,4.4408920985006257e-16,4.4408920985006257e-16,,,
Inverse Cumulative Scale Entropy,4.4408920985006257e-16,4.4408920985006257e-16,4.4408920985006257e-16,4.4408920985006257e-16,,,
Cumulative x-coord Entropy,8.881784197001254e-16,8.881784197001254e-16,8.881784197001254e-16,8.881784197001254e-16,,,
Inverse cumulative x-coord Entropy,8.881784197001254e-16,8.881784197001254e-16,8.881784197001254e-16,8.881784197001254e-16,,,
Cumulative y-coord Entropy,8.881784197001254e-16,8.881784197001254e-16,8.881784197001254e-16,8.881784197001254e-16,,,
Inverse cumulative y-coord Entropy,8.881784197001254e-16,8.881784197001254e-16,8.881784197001254e-16,8.881784197001254e-16,,,
