Measurement,Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6
Cumulative Scale Entropy,-0.0,-0.0,-0.0,-0.0,,,
Inverse Cumulative Scale Entropy,-0.0,-0.0,-0.0,-0.0,,,
Cumulative x-coord Entropy,1.1102230246251564e-16,1.1102230246251564e-16,1.1102230246251564e-16,1.1102230246251564e-16,,,
Inverse cumulative x-coord Entropy,1.1102230246251564e-16,1.1102230246251564e-16,1.1102230246251564e-16,1.1102230246251564e-16,,,
Cumulative y-coord Entropy,1.1102230246251564e-16,1.1102230246251564e-16,1.1102230246251564e-16,1.1102230246251564e-16,,,
Inverse cumulative y-coord Entropy,1.1102230246251564e-16,1.1102230246251564e-16,1.1102230246251564e-16,1.1102230246251564e-16,,,
