Entropy 0,Entropy 1,Entropy 2,Entropy 3,Entropy 4,Entropy 5,Entropy 6,cat
0.2977028589380824,0.5959776506058573,0.7438925262079329,0.5907371125597976,0.7688749659965645,0.827735102039598,0.9378922818472937,sign
0.4673953265821078,0.6697135385393266,0.6681348824315894,0.7076153310553682,0.919494235643581,0.7128002834508246,0.569366527993059,scrawl
0.5516167476263483,0.807377941333725,0.7786675628304083,0.9085144566296953,1.0279335168727017,0.49925904105682645,0.271781626052004,sign
0.4430489871487509,0.7472120444584698,0.9443823818665081,0.976316372434097,0.8681874169067703,0.3803511587002135,0.47360078069462613,scrawl
0.40609512965763234,0.6347566360984227,0.8115919741639791,0.8428172958727944,0.7438927559200169,0.5881424155114959,0.5827212456248586,sign
0.4792947988739609,0.7513718659092307,1.051209551702441,1.0978393852998578,1.0744294487350927,0.8529826269289719,0.5255284832548445,scrawl
0.5303065156152019,0.6981552247397166,0.8246880481461215,0.8396588470393884,0.9002076442217087,0.9996478497225243,1.0277713662550287,sign
0.33401306821186677,0.7105670539992585,0.7551099005052351,0.6896981564406381,1.136685787324922,1.159460962972711,0.8186617066330456,scrawl
0.44811854680497565,0.6160908508693561,0.7240471376396503,0.7909747214841918,1.0112360590374387,1.0830960931716094,1.0432736453636637,sign
0.4205224576156774,0.7025836266351577,0.9620873514265657,0.9879877008628454,0.8476898579854166,0.896286363245307,0.49391677449397864,scrawl
0.33988147094631727,0.545244950970424,0.6733936691928899,0.7848371815511823,0.6788774081632717,1.0327792942483696,1.0802580733492968,sign
0.38508036369540044,0.7455582342467187,0.9990779453969243,1.1083039567391684,0.9263712960708766,0.8904293385505784,1.1351152362477834,scrawl
0.3642631683145395,0.550840487789726,0.6747510748350893,0.7357127187666276,0.8558189534518224,0.9723903536290199,1.0826312092062238,sign
0.45258536621969025,0.7140219984174576,0.9331067361209676,0.9944081463395485,1.085334172547111,0.5906649265932691,0.806171870815475,scrawl
0.4012343755229393,0.6380960453182961,0.7776457940752283,0.8913794764098849,0.9446347988551865,0.9807721120901695,0.922245981130434,sign
